[18:40:58 WRN] Failed to determine the https port for redirect.
[18:51:57 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.0162 ms
[18:51:57 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.0938 ms
[18:51:58 INF] HTTP GET /api/v1/patients responded 200 in 1.7198 ms
[18:51:58 INF] HTTP GET /api/v1/patients responded 200 in 4.0283 ms
[18:51:58 INF] HTTP GET /api/v1/patients responded 200 in 3.0917 ms
[18:51:58 INF] HTTP GET /api/v1/patients responded 200 in 1.7241 ms
[18:52:01 INF] HTTP GET /api/v1/patients responded 200 in 1.0603 ms
[18:52:01 INF] HTTP GET /api/v1/departments responded 200 in 12.3896 ms
[18:52:01 INF] HTTP GET /api/v1/doctors responded 200 in 15.6810 ms
[18:52:01 INF] HTTP GET /api/v1/patients responded 200 in 10.1727 ms
[18:52:01 INF] HTTP GET /api/v1/departments responded 200 in 1.5138 ms
[18:52:01 INF] HTTP GET /api/v1/appointments responded 200 in 20.1419 ms
[18:52:01 INF] HTTP GET /api/v1/doctors responded 200 in 1.8059 ms
[18:52:01 INF] HTTP GET /api/v1/appointments responded 200 in 2.9786 ms
[18:52:01 INF] HTTP GET /api/v1/appointments responded 200 in 2.6222 ms
[18:52:01 INF] HTTP GET /api/v1/patients responded 200 in 2.3969 ms
[18:52:01 INF] HTTP GET /api/v1/doctors responded 200 in 3.2322 ms
[18:52:01 INF] HTTP GET /api/v1/departments responded 200 in 4.0050 ms
[18:52:01 INF] HTTP GET /api/v1/patients responded 200 in 1.3336 ms
[18:52:01 INF] HTTP GET /api/v1/appointments responded 200 in 1.7821 ms
[18:52:01 INF] HTTP GET /api/v1/departments responded 200 in 2.0886 ms
[18:52:01 INF] HTTP GET /api/v1/doctors responded 200 in 2.5391 ms
[18:52:07 INF] HTTP GET /api/v1/doctors responded 200 in 1.7362 ms
[18:52:07 INF] HTTP GET /api/v1/patients responded 200 in 2.0169 ms
[18:52:07 INF] HTTP GET /api/v1/doctors responded 200 in 2.1527 ms
[18:52:07 INF] HTTP GET /api/v1/patients responded 200 in 1.8214 ms
[18:52:07 INF] HTTP GET /api/v1/ipdadmissions/active responded 200 in 32.7527 ms
[18:52:07 INF] HTTP GET /api/v1/beds responded 200 in 36.8644 ms
[18:52:07 INF] HTTP GET /api/v1/ipdadmissions/active responded 200 in 1.5263 ms
[18:52:07 INF] HTTP GET /api/v1/beds responded 200 in 1.2814 ms
[18:52:07 INF] HTTP GET /api/v1/doctors responded 200 in 3.1615 ms
[18:52:07 INF] HTTP GET /api/v1/patients responded 200 in 3.2798 ms
[18:52:07 INF] HTTP GET /api/v1/ipdadmissions/active responded 200 in 3.9428 ms
[18:52:07 INF] HTTP GET /api/v1/beds responded 200 in 5.0189 ms
[18:52:07 INF] HTTP GET /api/v1/patients responded 200 in 1.8681 ms
[18:52:07 INF] HTTP GET /api/v1/beds responded 200 in 1.2603 ms
[18:52:07 INF] HTTP GET /api/v1/ipdadmissions/active responded 200 in 1.2766 ms
[18:52:07 INF] HTTP GET /api/v1/doctors responded 200 in 1.3063 ms
[18:52:10 INF] HTTP GET /api/v1/ipdadmissions/active responded 200 in 1.3303 ms
[18:52:10 INF] HTTP GET /api/v1/ipdadmissions/active responded 200 in 1.1158 ms
[18:52:10 INF] HTTP GET /api/v1/ipdadmissions/active responded 200 in 1.0355 ms
[18:52:10 INF] HTTP GET /api/v1/ipdadmissions/active responded 200 in 1.5440 ms
[18:52:11 INF] HTTP GET /api/v1/ipdadmissions/active responded 200 in 1.2293 ms
[18:52:11 INF] HTTP GET /api/v1/patients responded 200 in 1.1775 ms
[18:52:11 INF] HTTP GET /api/v1/beds responded 200 in 1.2160 ms
[18:52:11 INF] HTTP GET /api/v1/doctors responded 200 in 1.1117 ms
[18:52:11 INF] HTTP GET /api/v1/ipdadmissions/active responded 200 in 1.8497 ms
[18:52:11 INF] HTTP GET /api/v1/beds responded 200 in 1.2639 ms
[18:52:11 INF] HTTP GET /api/v1/patients responded 200 in 1.2803 ms
[18:52:11 INF] HTTP GET /api/v1/doctors responded 200 in 1.2386 ms
[18:52:11 INF] HTTP GET /api/v1/ipdadmissions/active responded 200 in 3.1174 ms
[18:52:11 INF] HTTP GET /api/v1/beds responded 200 in 2.8438 ms
[18:52:11 INF] HTTP GET /api/v1/patients responded 200 in 3.3687 ms
[18:52:11 INF] HTTP GET /api/v1/doctors responded 200 in 11.6395 ms
[18:52:11 INF] HTTP GET /api/v1/ipdadmissions/active responded 200 in 1.9152 ms
[18:52:11 INF] HTTP GET /api/v1/beds responded 200 in 2.6191 ms
[18:52:11 INF] HTTP GET /api/v1/patients responded 200 in 2.0844 ms
[18:52:11 INF] HTTP GET /api/v1/doctors responded 200 in 1.3905 ms
[18:52:15 INF] HTTP GET /api/v1/notifications/my responded 200 in 4.5696 ms
[18:52:24 INF] HTTP GET /api/v1/ipdadmissions/active responded 200 in 15.2504 ms
[18:52:24 INF] HTTP GET /api/v1/ipdadmissions/active responded 200 in 0.8982 ms
[18:52:25 INF] HTTP GET /api/v1/ipdadmissions/active responded 200 in 1.2865 ms
[18:52:25 INF] HTTP GET /api/v1/ipdadmissions/active responded 200 in 2.2679 ms
[18:52:34 INF] HTTP POST /api/v1/auth/logout responded 204 in 23.3547 ms
[18:52:37 INF] HTTP POST /api/v1/auth/login responded 200 in 198.8696 ms
