Using launch settings from C:\HMS\backend\src\HMS.API\Properties\launchSettings.json...
Building...
[12:06:50 WRN] Failed to determine the https port for redirect.
[12:27:14 INF] HTTP GET /api/v1/doctors responded 200 in 1.7188 ms
[12:27:14 INF] HTTP GET /api/v1/patients responded 200 in 1.7905 ms
[12:27:14 INF] HTTP GET /api/v1/appointments responded 200 in 1.6647 ms
[12:27:20 INF] HTTP GET /api/v1/appointments responded 200 in 2.2014 ms
[12:27:20 INF] HTTP GET /api/v1/departments responded 200 in 1.9130 ms
[12:27:20 INF] HTTP GET /api/v1/appointments responded 200 in 2.5594 ms
[12:27:20 INF] HTTP GET /api/v1/departments responded 200 in 2.6570 ms
[12:27:20 INF] HTTP GET /api/v1/laboratory/catalog responded 200 in 13.5142 ms
[12:27:20 INF] HTTP GET /api/v1/pharmacy/medicines responded 200 in 15.2929 ms
[12:27:20 INF] HTTP GET /api/v1/pharmacy/medicines responded 200 in 1.4238 ms
[12:27:20 INF] HTTP GET /api/v1/laboratory/catalog responded 200 in 1.7683 ms
[12:27:20 INF] HTTP GET /api/v1/departments responded 200 in 0.9067 ms
[12:27:20 INF] HTTP GET /api/v1/appointments responded 200 in 1.0500 ms
[12:27:20 INF] HTTP GET /api/v1/laboratory/catalog responded 200 in 1.3978 ms
[12:27:20 INF] HTTP GET /api/v1/pharmacy/medicines responded 200 in 1.5111 ms
[12:27:20 INF] HTTP GET /api/v1/departments responded 200 in 1.2712 ms
[12:27:20 INF] HTTP GET /api/v1/laboratory/catalog responded 200 in 1.8305 ms
[12:27:20 INF] HTTP GET /api/v1/appointments responded 200 in 1.8307 ms
[12:27:20 INF] HTTP GET /api/v1/pharmacy/medicines responded 200 in 1.7287 ms
[12:27:25 INF] HTTP POST /api/v1/opdvisits/start-consultation responded 200 in 128.1432 ms
[12:36:41 INF] HTTP GET /api/v1/laboratory/catalog responded 200 in 25.8748 ms
[12:36:41 INF] HTTP GET /api/v1/pharmacy/medicines responded 200 in 26.0816 ms
[12:36:41 INF] HTTP GET /api/v1/departments responded 200 in 26.4721 ms
[12:36:41 INF] HTTP GET /api/v1/laboratory/catalog responded 200 in 1.1475 ms
[12:36:41 INF] HTTP GET /api/v1/pharmacy/medicines responded 200 in 0.8423 ms
[12:36:41 INF] HTTP GET /api/v1/departments responded 200 in 0.8346 ms
[12:36:41 INF] HTTP GET /api/v1/appointments responded 200 in 36.2166 ms
[12:36:41 INF] HTTP GET /api/v1/appointments responded 200 in 1.4685 ms
